xuhao,market_index,date,craft_name,price
1,20843,2020-12-28,白萝卜,3.2元/公斤
1,20843,2020-12-28,菠菜,3.5元/公斤
1,20843,2020-12-28,菜花,3.6元/公斤
1,20843,2020-12-28,葱头,2.7元/公斤
1,20843,2020-12-28,大白菜,3.1元/公斤
1,20843,2020-12-28,大葱,7元/公斤
1,20843,2020-12-28,豆角,7.7元/公斤
1,20843,2020-12-28,胡萝卜,3.3元/公斤
1,20843,2020-12-28,黄瓜,5.3元/公斤
1,20843,2020-12-28,韭菜,4.8元/公斤
1,20843,2020-12-28,莲藕,8元/公斤
1,20843,2020-12-28,南瓜,4元/公斤
1,20843,2020-12-28,平菇,7元/公斤
1,20843,2020-12-28,茄子,6.3元/公斤
1,20843,2020-12-28,芹菜,4.8元/公斤
1,20843,2020-12-28,青椒,6.2元/公斤
1,20843,2020-12-28,生菜,6.5元/公斤
1,20843,2020-12-28,蒜薹,9.5元/公斤
1,20843,2020-12-28,土豆,4.9元/公斤
1,20843,2020-12-28,莴笋,2.4元/公斤
1,20843,2020-12-28,西红柿,4.1元/公斤
1,20843,2020-12-28,西葫芦,4.7元/公斤
1,20843,2020-12-28,香菇,13元/公斤
1,20843,2020-12-28,洋白菜,2元/公斤
1,20843,2020-12-28,油菜,6.5元/公斤
1,20843,2020-12-27,白萝卜,3.2元/公斤
1,20843,2020-12-27,菠菜,3.5元/公斤
1,20843,2020-12-27,菜花,3.6元/公斤
1,20843,2020-12-27,葱头,2.7元/公斤
1,20843,2020-12-27,大白菜,3.1元/公斤
1,20843,2020-12-28,白萝卜,3.2元/公斤
1,20843,2020-12-28,菠菜,3.5元/公斤
1,20843,2020-12-28,菜花,3.6元/公斤
1,20843,2020-12-28,葱头,2.7元/公斤
1,20843,2020-12-28,大白菜,3.1元/公斤
1,20843,2020-12-28,大葱,7元/公斤
1,20843,2020-12-28,豆角,7.7元/公斤
1,20843,2020-12-28,胡萝卜,3.3元/公斤
1,20843,2020-12-28,黄瓜,5.3元/公斤
1,20843,2020-12-28,韭菜,4.8元/公斤
1,20843,2020-12-28,莲藕,8元/公斤
1,20843,2020-12-28,南瓜,4元/公斤
1,20843,2020-12-28,平菇,7元/公斤
1,20843,2020-12-28,茄子,6.3元/公斤
1,20843,2020-12-28,芹菜,4.8元/公斤
1,20843,2020-12-28,青椒,6.2元/公斤
1,20843,2020-12-28,生菜,6.5元/公斤
1,20843,2020-12-28,蒜薹,9.5元/公斤
1,20843,2020-12-28,土豆,4.9元/公斤
1,20843,2020-12-28,莴笋,2.4元/公斤
1,20843,2020-12-28,西红柿,4.1元/公斤
1,20843,2020-12-28,西葫芦,4.7元/公斤
1,20843,2020-12-28,香菇,13元/公斤
1,20843,2020-12-28,洋白菜,2元/公斤
1,20843,2020-12-28,油菜,6.5元/公斤
1,20843,2020-12-27,白萝卜,3.2元/公斤
1,20843,2020-12-27,菠菜,3.5元/公斤
1,20843,2020-12-27,菜花,3.6元/公斤
1,20843,2020-12-27,葱头,2.7元/公斤
1,20843,2020-12-27,大白菜,3.1元/公斤
1,20843,2020-12-27,大葱,7元/公斤
1,20843,2020-12-27,冬瓜,2元/公斤
1,20843,2020-12-27,豆角,7.7元/公斤
1,20843,2020-12-27,胡萝卜,3.3元/公斤
1,20843,2020-12-27,黄瓜,5.3元/公斤
1,20843,2020-12-27,韭菜,4.8元/公斤
1,20843,2020-12-27,莲藕,8元/公斤
1,20843,2020-12-27,南瓜,4元/公斤
1,20843,2020-12-27,平菇,7元/公斤
1,20843,2020-12-27,茄子,6.3元/公斤
1,20843,2020-12-27,芹菜,4.8元/公斤
1,20843,2020-12-27,青椒,6.2元/公斤
1,20843,2020-12-27,生菜,6.5元/公斤
1,20843,2020-12-27,蒜薹,9.5元/公斤
1,20843,2020-12-27,土豆,4.9元/公斤
1,20843,2020-12-27,莴笋,2.4元/公斤
1,20843,2020-12-27,西红柿,4.1元/公斤
1,20843,2020-12-27,西葫芦,4.7元/公斤
1,20843,2020-12-27,香菇,13元/公斤
1,20843,2020-12-27,洋白菜,2元/公斤
1,20843,2020-12-27,油菜,6.5元/公斤
1,20843,2020-12-26,白萝卜,3.2元/公斤
1,20843,2020-12-26,菠菜,3.5元/公斤
1,20843,2020-12-26,菜花,3.6元/公斤
1,20843,2020-12-26,葱头,2.7元/公斤
1,20843,2020-12-26,大白菜,3.1元/公斤
1,20843,2020-12-26,大葱,7元/公斤
1,20843,2020-12-26,冬瓜,2元/公斤
